income,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,total_claim_amount
0,3,70,0,1,820.8
72845,13,28,0,2,463.000336
51622,29,32,0,1,355.2
0,25,79,0,2,292.8
15616,20,96,1,2,547.2
0,31,25,0,8,590.4
23091,28,90,5,5,460.8
0,7,8,3,3,482.4
22699,11,76,4,2,355.2
14072,13,3,0,2,511.2
81713,0,41,0,2,332.224293
56516,26,46,0,2,955.2
0,21,31,0,3,525.6
26747,11,44,0,3,404.074203
63422,8,68,0,1,355.922452
22081,1,9,0,6,451.670309
0,14,70,0,4,1296.0
29698,17,89,2,1,215.884804
24518,23,62,0,3,241.656325
62873,0,41,0,1,207.75186
28377,26,99,0,3,451.2
21102,0,81,0,2,480.0
0,12,57,2,1,312.0
0,2,43,0,3,539.280951
81410,8,86,0,7,221.188327
27869,18,59,0,2,482.4
57449,6,28,0,2,494.4
40901,2,36,0,1,13.628274
88701,7,4,0,1,171.830049
29365,14,78,0,7,657.6
0,26,33,0,3,393.6
0,9,72,0,2,1060.310769
56455,17,5,2,8,350.4
35095,25,56,0,2,525.6
0,9,62,1,8,1116.0
94903,3,38,0,1,451.2
80192,22,24,0,7,95.193157
0,15,11,0,2,827.786203
60244,3,72,3,1,326.281835
52735,21,19,0,2,123.512596
78275,12,36,0,2,25.336642
77282,8,54,0,3,489.6
21604,14,28,0,1,379.2
51962,8,2,4,1,788.206874
0,4,67,0,9,489.6
56362,30,47,1,6,945.6
85753,23,14,1,8,316.8
36167,9,79,3,1,364.8
68568,5,28,1,6,1070.4
35482,21,59,0,3,619.2
92079,12,68,1,2,114.798771
0,0,84,0,3,554.4
0,29,6,2,1,1188.0
34558,32,24,0,1,376.529086
14775,11,44,0,5,170.939409
35637,13,11,0,9,326.4
66726,3,60,1,7,335.840529
0,29,86,0,1,345.6
0,25,71,0,6,460.8
79719,12,87,0,6,425.924132
25632,27,52,0,7,351.270869
61108,22,93,0,2,49.451117
0,34,77,0,4,657.6
21073,25,54,1,3,508.8
17932,8,38,0,2,379.2
81082,5,85,0,4,281.295903
71684,7,17,0,1,196.065149
57338,8,48,0,1,292.8
0,35,48,0,2,489.6
24409,4,13,0,1,297.6
83488,14,20,0,3,432.784577
0,29,7,0,2,773.346065
62537,19,64,1,1,354.199664
10621,28,22,0,5,321.6
43478,27,79,0,9,384.0
46503,4,21,1,1,1032.0
27179,8,91,0,9,344.201601
62229,13,26,0,5,336.0
0,34,39,1,2,441.6
67060,1,85,4,2,339.000467
13663,1,66,0,2,465.6
0,5,79,0,1,453.6
0,21,35,1,4,699.67536
97745,10,64,0,5,695.136477
26026,1,76,1,1,283.670312
72794,3,47,1,2,50.454459
47730,12,52,0,2,219.440024
0,27,2,0,1,725.870693
0,6,67,0,8,345.6
0,20,81,0,9,336.0
97785,35,36,0,2,236.614219
0,27,89,0,3,712.309237
30817,25,43,0,1,91.834668
64502,22,49,0,2,39.336222
30335,17,42,0,1,326.132867
21020,1,36,0,4,178.371281
84574,13,75,0,2,167.459769
0,26,37,0,1,700.725788
0,28,3,0,8,436.143226
11828,18,84,0,2,571.479602
54889,32,94,0,1,302.4
89918,15,72,0,9,367.230882
87002,27,30,0,2,199.851173
55687,33,91,0,1,1324.8
17103,24,29,0,2,417.6
0,17,20,5,1,702.020904
28441,10,98,0,2,686.020135
91212,9,92,0,6,270.311239
66325,10,10,0,5,497.719213
67895,25,27,4,1,403.937672
29550,16,70,1,1,118.750512
10275,10,8,0,1,465.6
61725,7,70,0,6,508.8
28215,15,26,0,3,468.0
10563,20,10,0,2,109.814874
0,10,97,0,3,722.432062
99722,6,48,0,2,292.8
16224,13,55,0,9,498.452698
72096,24,92,0,5,252.330905
63800,9,43,0,4,542.4
55687,33,91,0,1,1324.8
0,6,49,1,3,640.8
0,8,91,0,1,351.85681
29598,2,70,0,2,150.926696
22907,13,86,2,1,49.18776
22697,35,39,1,8,892.8
70174,18,80,0,7,128.90032
85378,7,4,0,2,513.6
31477,22,77,0,3,146.950756
66429,35,93,0,1,57.712985
0,15,55,0,3,900.242038
0,29,32,0,3,655.489027
0,23,6,0,1,141.460349
74217,35,3,0,6,418.005524
46298,11,82,3,4,128.292466
0,0,86,0,1,648.0
43860,15,58,0,1,156.124914
0,11,5,0,2,331.2
48029,7,52,0,9,292.8
86830,18,5,0,3,480.533246
0,29,21,0,2,509.100577
40706,30,96,0,1,166.123172
69231,19,7,0,9,193.243084
0,13,33,0,2,950.4
0,5,87,0,3,756.0
16171,8,36,0,4,311.004168
51397,20,61,0,1,292.8
83879,3,66,0,2,212.148485
63267,22,31,0,8,530.340202
44712,19,14,2,8,537.78416
59311,8,38,0,9,14.812808
81957,23,76,0,4,433.426544
59601,28,2,0,6,321.6
71034,26,15,0,3,494.4
13103,21,32,0,7,458.003651
20978,19,96,1,1,1176.2788
46503,4,21,1,1,1032.0
61064,32,77,0,1,539.774172
17572,0,35,0,1,639.769748
99823,2,64,0,2,250.183388
17453,12,70,1,9,566.4
55663,19,63,0,1,194.739777
73196,0,93,1,1,85.809817
58577,6,62,0,1,303.872752
88055,11,37,0,6,337.727542
0,17,96,0,5,384.0
80892,15,76,0,1,528.0
34990,23,73,0,1,42.689135
37124,4,17,0,1,430.518791
22236,3,45,0,4,409.425049
97131,5,80,0,6,307.2
67760,19,19,0,3,465.278453
0,13,74,0,1,97.691104
0,6,44,1,2,307.649586
37473,0,92,0,3,336.0
32314,17,77,0,2,326.4
49214,0,82,3,2,371.322406
49851,27,85,1,2,331.2
27951,32,4,0,2,436.8
0,13,20,0,5,456.0
56410,13,73,0,3,523.99823
22497,15,71,0,7,1017.6
61347,27,66,0,2,604.237801
37803,26,51,0,1,355.2
91276,14,4,0,4,504.0
30816,10,43,0,4,237.57033
41968,11,96,0,1,183.207703
35754,21,54,0,3,612.973779
36706,4,45,0,1,435.606086
48258,12,86,0,2,1195.2
52965,6,77,3,4,83.815183
0,25,44,0,1,604.8
0,8,5,0,1,455.644704
62634,10,89,0,2,122.017931
96917,24,2,0,2,71.942176
76157,15,80,0,1,556.8
53219,24,36,0,1,561.6
81412,1,29,0,1,344.294164
59744,1,79,0,2,476.486416
38898,26,68,0,3,561.6
0,19,98,2,4,17.938979
99961,6,54,2,1,316.8
30886,7,53,0,4,103.424766
35984,7,68,3,1,275.577631
0,27,97,4,1,539.5622
0,13,16,0,1,1303.2
0,4,35,0,2,667.2
60244,3,72,3,1,326.281835
0,8,61,0,2,518.4
37553,34,7,0,2,897.6
0,24,47,0,3,525.6
60475,9,18,0,1,513.6
0,3,59,0,9,672.91665
0,7,61,2,3,979.2
25545,19,49,0,9,331.2
24182,12,32,0,1,316.8
80979,32,27,2,3,25.961213
0,8,20,0,7,446.4
0,20,3,0,2,47.502366
29250,27,30,0,1,308.240792
33566,25,56,1,4,205.043307
65247,14,55,0,1,381.238176
39650,18,8,0,6,922.335972
0,1,83,4,1,960.115399
82680,8,86,0,2,326.4
0,30,86,0,3,799.2
0,15,42,0,3,619.2
0,17,60,0,2,460.741097
0,9,16,1,1,439.2
86834,2,93,0,8,0.099007
46143,15,85,0,1,223.028356
21275,3,58,0,2,1152.0
47746,9,4,0,1,246.696768
51675,11,86,0,5,940.8
85522,1,56,0,3,165.002742
0,3,35,4,4,753.22565
0,17,5,0,2,633.294203
55632,35,98,0,7,478.609999
0,24,25,0,2,669.6
0,32,37,0,5,374.4
69152,8,83,4,1,221.359492
13476,3,30,2,2,433.588181
0,2,84,0,5,914.538629
33252,20,4,0,1,407.668083
0,16,1,1,1,734.4
59456,11,7,0,8,907.2
88989,19,28,1,3,232.745161
0,17,39,0,5,513.6
17034,11,40,0,6,542.4
88435,16,61,0,1,136.263492
71445,6,95,2,1,336.0
72149,18,43,0,6,69.310166
23376,19,18,0,1,374.4
44788,6,48,0,2,386.031248
69379,14,79,0,1,494.4
38521,15,71,0,1,557.184015
34482,4,6,0,2,83.830109
0,35,35,0,1,487.345606
37256,15,7,0,2,128.969729
77311,18,36,0,2,113.609508
39268,30,96,1,9,188.870427
59644,15,94,0,1,379.2
0,2,33,0,2,326.4
23376,19,18,0,1,374.4
50854,15,72,0,2,101.489422
35158,14,27,0,2,165.958605
15413,4,67,0,1,508.8
17860,16,0,2,1,656.122925
16181,22,79,0,8,1261.319869
91182,8,90,0,1,249.140907
41154,6,7,1,8,345.6
18746,21,93,0,1,326.4
70277,23,4,0,1,84.818806
0,23,38,0,4,668.158687
24919,21,2,1,5,420.420755
0,22,82,0,2,335.234102
0,31,34,0,1,460.8
46370,28,86,1,1,326.4
89918,14,42,0,2,423.116739
37138,4,13,0,1,612.0
19683,17,41,1,9,561.6
32214,5,6,0,2,296.560998
26472,22,31,0,1,355.2
39841,9,40,0,5,440.128707
51085,4,58,1,1,406.902001
61006,6,99,0,9,73.919629
34148,27,30,0,2,451.566751
95697,16,55,0,1,114.273025
75685,35,47,0,1,369.918482
20870,20,90,0,2,345.6
66900,15,20,0,1,326.4
0,22,51,1,8,508.8
37043,25,89,3,1,30.984936
42837,15,39,0,1,290.580543
33305,3,12,0,5,353.77899
0,8,35,0,1,558.281543
24823,23,66,0,1,229.279059
98192,2,64,1,2,403.2
88249,9,71,0,2,244.803741
54585,33,39,1,3,340.8
39770,11,37,0,3,561.6
85367,27,20,0,1,67.975243
74809,7,35,0,3,283.787384
50144,0,35,0,2,786.934186
20075,7,2,1,1,483.731784
76448,9,13,0,3,302.4
59556,11,86,0,1,681.505066
14174,1,62,0,8,345.6
35230,27,2,1,2,16.214764
0,33,38,0,2,436.8
0,18,45,0,5,350.4
0,2,45,0,7,547.2
51352,21,87,3,2,95.661376
76675,5,38,0,9,141.718568
0,6,94,0,2,326.4
0,27,21,2,2,297.419028
94242,35,7,1,2,41.229484
0,4,92,0,2,217.92632
71153,1,94,0,1,209.019238
63326,5,99,0,1,1080.0
29629,21,51,4,5,228.443418
0,0,32,0,7,599.152722
23726,1,83,0,9,355.2
48999,6,65,3,2,412.8
13037,28,49,0,1,839.348464
24245,0,22,0,2,302.4
44047,12,38,0,1,969.232217
91942,34,61,0,3,561.6
37640,25,74,0,4,174.046849
77058,16,42,0,2,119.331041
0,29,38,0,1,525.6
63755,28,40,0,2,291.860708
37384,9,17,0,1,475.2
42557,4,35,0,1,57.562324
45473,10,29,0,2,188.938397
10743,12,64,2,8,336.0
0,5,90,0,2,813.6
0,16,29,0,1,283.881697
0,27,32,3,5,575.890362
75644,5,68,3,9,467.803638
63455,26,71,0,1,287.654819
73782,11,97,0,1,111.622054
80590,4,19,0,1,134.158389
59797,4,50,0,2,609.6
48567,12,15,0,1,624.0
62470,34,84,0,4,243.766542
57338,9,85,0,3,316.8
63288,12,92,0,5,558.433218
55281,22,68,1,1,921.6
22985,4,65,0,1,458.056054
39608,14,15,1,7,22.961216
99189,27,27,0,3,75.302707
0,27,46,0,4,574.102379
0,7,89,0,2,514.360634
58089,31,83,0,1,566.4
81350,1,28,0,9,228.185834
0,2,73,0,8,731.289267
43704,29,67,0,2,1064.482165
75497,5,72,0,3,71.773341
40372,15,17,0,4,76.975713
17489,31,28,0,1,587.689075
86277,19,33,0,3,212.039619
0,3,5,0,6,453.6
0,14,38,0,2,355.2
49078,10,3,0,2,484.013411
81082,5,85,0,4,281.295903
0,20,9,2,6,835.2
40635,4,45,0,6,489.6
26351,14,87,0,7,571.2
0,15,83,0,1,824.487259
42836,32,99,0,1,244.580023
40175,34,78,1,1,154.721555
62873,0,41,0,1,207.75186
0,24,98,0,5,588.936956
50985,7,31,0,1,307.68931
0,6,28,0,2,835.2
42803,21,56,0,2,889.288242
0,34,13,1,1,624.980751
35970,29,81,0,1,470.4
44537,13,42,0,1,441.907057
13528,21,35,0,3,412.8
14030,11,3,0,1,345.6
0,0,56,0,3,492.644465
33190,18,95,0,2,508.8
0,1,25,0,4,61.580247
21033,5,22,0,8,738.975495
26285,7,1,0,1,403.2
0,29,52,0,8,65.953005
73245,33,48,0,2,305.121363
0,5,31,0,3,244.816163
0,32,42,0,3,616.279356
74365,11,85,0,1,926.4
30821,27,59,0,1,451.319227
69844,5,9,0,1,184.379697
0,15,86,0,8,595.2
55836,8,87,0,7,314.936185
40352,31,33,0,3,406.367233
14985,12,45,0,1,571.319514
27458,18,62,1,3,730.373515
56343,11,69,0,2,1612.962321
12780,17,53,2,6,225.437098
68558,16,11,0,1,280.903779
47747,31,76,0,1,165.588524
16113,27,19,0,2,494.890996
0,6,55,0,1,379.2
39626,23,0,0,3,485.705851
49304,28,48,0,1,312.0
27972,7,38,0,1,292.8
27568,0,62,0,3,278.689331
25905,21,12,0,1,302.4
21442,16,83,0,2,518.4
34516,12,70,3,1,42.950852
0,11,90,0,4,342.468248
28354,33,20,0,1,320.327775
0,22,58,0,5,345.6
37722,8,23,0,8,158.077504
32021,12,58,0,2,336.0
13393,31,11,0,1,34.708194
13624,4,11,0,2,561.6
27800,9,78,0,1,321.6
58419,29,6,0,1,202.468807
50407,30,67,0,2,352.060768
0,0,76,0,4,856.347474
77603,10,83,0,8,547.2
75606,6,97,0,7,571.2
41458,6,67,0,3,191.100227
0,6,61,0,1,420.765993
0,13,87,0,7,445.001296
70619,2,84,0,3,293.948632
41273,16,19,0,1,221.226696
46946,10,37,0,9,336.0
0,10,97,0,9,542.4
99180,15,20,0,3,33.751887
55350,0,13,0,9,321.6
28215,15,26,0,3,468.0
75425,25,88,1,2,663.643801
63583,15,8,0,1,167.39959
0,27,28,0,3,475.2
37995,16,50,0,1,667.2
37125,29,78,0,1,290.911693
53357,4,77,0,1,55.320014
70140,25,15,0,7,955.2
52380,27,76,2,1,892.8
79292,18,58,0,1,55.394702
0,31,24,1,1,774.892461
0,14,97,0,1,1480.336748
75425,3,49,0,6,823.798803
20992,21,73,0,1,307.2
57428,34,40,1,1,414.649796
92606,26,75,0,3,287.437831
86001,4,27,1,1,523.2
79751,15,67,0,1,392.235698
68654,32,21,2,9,208.048487
0,7,71,3,9,208.892861
92629,22,1,3,1,60.845685
54094,9,51,0,4,502.994931
95419,6,61,3,2,336.0
66466,20,35,0,2,293.016168
68131,22,27,0,1,226.607648
56481,7,17,0,3,273.250112
70082,17,23,0,1,571.2
51437,35,30,0,2,244.086665
0,6,97,0,9,525.6
27972,13,7,0,8,240.318607
24930,7,16,0,2,364.8
26245,6,43,0,1,44.284642
57883,4,0,0,9,431.847824
0,20,4,0,1,483.25721
58828,13,98,0,1,446.751243
51906,29,78,0,1,374.864662
28095,18,2,0,8,393.6
88723,12,94,0,8,355.2
53078,29,81,2,8,200.97608
88895,0,87,0,8,209.863509
60078,23,60,0,3,140.819942
0,26,4,0,3,321.6
45820,4,89,0,8,249.742856
0,12,84,0,1,677.970934
12439,22,78,0,2,552.0
25998,16,38,0,2,791.878042
98451,19,57,0,3,316.546868
23803,11,90,0,1,410.548521
0,12,58,0,2,595.2
26100,6,29,0,1,482.4
0,8,63,0,1,376.923839
0,10,38,0,9,315.215329
65252,27,75,0,9,482.48791
48567,12,15,0,1,624.0
34337,20,44,0,9,542.4
20394,28,84,0,1,508.614758
0,20,17,0,6,784.611446
0,17,1,1,7,292.8
31617,17,29,1,1,244.269407
0,31,30,1,2,297.6
21104,34,74,0,1,118.454974
37748,21,22,2,2,868.8
0,19,30,0,1,438.661509
25023,31,38,0,2,397.139856
0,22,57,0,9,271.164139
14108,27,88,0,1,523.2
23923,29,61,1,2,393.6
0,1,19,0,1,321.6
22705,19,59,0,7,1294.700423
0,10,83,0,1,427.2
0,31,89,0,5,506.92275
50825,3,46,0,3,369.614729
14616,16,23,0,1,575.260213
0,5,74,0,1,272.381465
29504,16,29,0,9,1224.56345
58789,4,69,0,3,215.438825
29491,26,62,0,2,292.8
78077,11,47,2,6,438.069458
0,2,53,0,1,799.251165
76558,2,45,0,2,216.980413
78618,7,56,0,1,225.578841
82664,24,10,3,9,133.425609
23053,5,97,0,8,780.941649
50250,3,93,0,1,561.6
32169,0,74,0,1,785.82348
0,28,97,0,1,286.115778
99069,7,28,0,2,77.442722
20978,19,96,1,1,1176.2788
17576,29,70,0,1,398.502948
42297,29,62,0,1,200.38673
0,0,3,0,3,824.597262
0,21,23,0,7,151.231247
0,22,72,0,9,161.092415
48990,3,20,0,2,355.2
16916,31,31,0,2,377.512951
18375,8,50,0,1,535.080276
17150,28,19,0,2,689.800891
23815,4,47,0,2,424.330166
21947,30,76,0,9,566.4
0,4,11,0,4,863.219668
89451,11,2,0,1,61.769564
79325,4,31,0,4,251.294821
88454,8,89,0,1,308.749796
0,2,41,0,3,417.6
20943,0,86,0,1,240.00056
51972,19,22,0,2,316.8
54408,29,17,0,4,288.329793
23751,4,9,1,7,586.921708
37612,0,32,0,1,307.2
91603,4,92,2,3,472.67262
0,12,53,0,3,639.758314
16450,6,81,0,1,871.484565
50864,18,86,1,4,158.362972
74560,31,20,0,2,528.0
62488,35,47,2,1,200.689331
55837,16,35,0,9,741.867506
0,12,71,0,1,475.2
97742,33,57,0,5,67.648392
0,13,75,0,1,496.8
64125,3,44,0,3,369.818708
0,22,39,0,6,446.4
70412,27,12,0,3,136.291083
0,13,8,0,3,336.0
66267,23,95,0,3,1093.708851
0,14,23,0,6,863.935307
40882,6,17,0,2,393.637436
34498,30,72,0,7,398.4
0,0,52,0,1,355.2
23228,4,0,1,6,307.2
40864,16,70,1,1,166.937747
46133,7,78,0,5,19.626306
46900,13,59,0,1,316.8
0,1,17,0,6,441.6
53390,13,41,0,5,278.999409
99185,8,19,0,3,449.428182
62815,14,84,0,1,47.061469
26277,17,30,0,4,292.8
41854,17,44,0,8,481.269644
0,4,56,0,8,412.8
66627,32,55,0,8,733.21126
12131,32,60,1,1,251.44949
0,4,61,0,1,528.0
0,4,18,0,5,648.0
33317,18,31,1,3,345.6
68931,32,30,0,7,309.577946
0,6,60,1,1,321.6
19189,21,9,0,3,518.4
49390,31,15,0,1,738.05105
33124,35,7,0,1,80.119997
40516,21,31,0,1,137.168874
0,12,93,0,3,537.6
34615,6,73,0,7,417.6
29894,9,69,4,3,16.510134
0,32,2,0,3,379.2
0,32,96,0,4,847.490817
86732,0,95,0,1,204.373113
68516,17,0,0,1,95.693949
31562,14,6,0,3,552.0
0,33,92,0,4,582.420512
24477,15,32,0,3,379.2
0,31,80,0,1,480.0
20046,15,59,0,3,417.6
78152,18,35,0,1,547.2
0,7,47,0,2,733.522405
36067,30,78,0,3,561.6
44362,15,75,0,2,142.113373
77350,11,4,0,1,316.8
86641,17,79,0,6,161.752532
72258,8,50,0,4,12.497538
70737,25,12,0,4,741.655597
0,19,75,0,2,1410.16929
0,7,99,0,3,988.535078
0,10,80,3,3,388.8
17672,28,16,0,1,792.0
0,24,21,0,2,1245.6
47297,10,46,4,4,796.130111
57240,18,79,0,7,83.652384
28181,32,41,0,3,523.2
31275,26,0,0,3,316.8
0,24,45,0,1,1310.4
63774,18,63,0,1,60.036683
78441,6,73,0,2,613.866905
0,19,65,2,1,499.2
0,0,91,0,2,364.8
0,0,65,0,4,511.422666
91423,3,71,1,5,435.796252
86933,3,64,0,1,269.563038
65255,3,65,2,3,321.457124
41533,2,46,0,9,232.879766
50097,25,81,0,5,17.484679
73858,8,59,3,1,422.59237
94943,3,22,0,1,387.545055
72685,20,97,5,1,14.464783
60184,7,44,1,1,161.61574
0,29,38,0,1,763.2
74045,23,83,0,1,307.2
52564,33,28,0,2,42.131925
19098,35,3,0,1,417.6
78784,33,72,0,1,239.964694
0,10,10,0,2,163.046956
29256,33,41,0,5,302.4
77912,2,21,1,3,23.89816
45345,28,86,0,3,99.039453
25630,8,63,0,1,412.8
22280,10,48,0,3,169.414572
0,31,25,0,7,496.8
61567,35,78,0,1,39.532978
34644,7,36,0,2,316.8
26991,34,65,0,1,856.8
49746,5,88,0,1,624.42874
0,8,61,1,2,723.010515
49625,29,9,0,1,261.549577
49308,7,97,0,1,150.235884
63624,10,5,0,5,175.243467
80358,19,2,0,1,443.637243
38460,15,1,1,1,91.55098
0,22,22,0,4,460.8
0,10,48,0,2,727.2
0,3,9,0,1,711.323244
34835,1,45,2,9,294.691896
93836,1,19,0,2,497.353106
34075,8,87,0,1,451.896687
35624,6,55,2,2,227.44626
83218,6,42,0,1,245.103885
24641,12,82,0,1,504.0
22828,11,54,0,2,508.8
0,22,25,0,1,340.8
28729,26,19,3,1,338.744392
72731,10,7,0,1,125.704164
59932,16,77,1,3,116.600107
54292,4,26,0,2,321.6
0,0,22,0,2,931.2
0,22,7,3,1,302.4
59414,23,21,0,3,340.32278
96587,31,99,0,1,749.244062
0,15,12,0,2,532.8
0,0,59,0,2,638.4
94362,21,96,0,1,195.405949
84488,33,71,0,2,208.885686
65085,20,55,0,1,480.073548
0,35,86,0,2,518.4
0,32,21,0,2,450.760925
0,4,44,0,1,664.128009
0,1,73,0,3,446.4
60798,21,57,0,1,316.8
30761,16,16,2,2,331.2
25981,33,38,0,1,77.54669
67739,4,76,0,2,270.373444
25581,9,21,0,1,429.695284
99759,12,25,3,2,74.463101
76514,19,0,0,3,573.941286
18375,8,50,0,1,535.080276
21832,29,39,0,3,403.2
0,25,43,0,2,842.4
95330,1,1,0,3,542.4
0,21,25,0,9,634.396608
0,31,69,2,2,326.4
25899,20,36,0,1,302.4
0,13,30,0,4,355.2
33201,9,56,0,1,314.044227
18287,6,56,4,1,292.8
76506,35,65,0,8,427.2
41859,18,58,0,5,166.1306
27504,26,45,0,2,436.8
45360,16,71,0,1,350.4
49078,10,3,0,2,484.013411
0,16,66,2,6,648.0
91810,27,43,0,1,165.520952
70600,26,5,1,2,636.982333
33554,25,36,0,1,934.656068
77642,20,14,0,2,282.146354
25963,11,35,0,9,298.954932
57452,25,10,1,1,652.8
0,15,89,0,1,491.66348
91416,4,39,0,5,109.904496
22000,27,36,0,1,383.224514
41167,16,4,0,1,554.957693
0,18,23,0,2,504.0
0,8,37,0,1,412.8
53944,13,20,0,2,340.8
75648,28,10,0,1,112.660916
29414,2,32,0,3,71.303109
48567,12,15,0,1,624.0
69276,14,22,2,8,201.327931
0,6,60,0,1,460.8
50117,13,98,0,4,462.654347
22828,11,54,0,2,508.8
0,0,38,0,3,818.730215
0,7,34,0,3,979.2
20868,14,11,0,1,537.6
40921,0,50,2,1,10.560419
99654,13,95,0,3,272.788141
0,16,17,0,5,686.90827
56218,17,74,2,1,302.942519
70717,20,89,0,5,37.28874
62989,3,18,1,2,319.131547
41459,8,4,0,2,340.8
0,20,7,1,2,489.6
42512,15,72,1,1,77.479316
0,5,90,0,1,437.040616
83288,18,70,0,1,353.397699
46267,4,73,0,1,231.969205
0,15,47,0,9,650.52179
74424,26,74,0,9,388.8
0,15,70,0,2,693.084662
58883,1,47,0,2,432.480275
41539,11,35,0,3,556.8
33881,11,83,0,9,65.659137
86448,25,79,0,6,59.853369
25237,23,52,0,9,378.345883
0,10,75,0,7,482.4
49419,3,34,0,4,203.296071
90414,7,49,1,6,398.4
39930,22,64,1,2,412.8
23202,29,59,0,2,460.8
79487,20,87,0,1,547.2
68423,14,81,0,7,324.413656
84495,15,61,0,1,302.4
43091,2,36,1,6,330.138332
41951,30,56,0,7,40.536151
89834,17,14,0,3,504.0
92157,19,33,0,1,270.381385
35773,25,89,0,2,446.4
0,16,20,0,1,475.2
15850,28,14,0,2,314.528138
11167,0,99,3,1,350.4
21195,23,10,0,9,345.6
27430,25,12,0,4,184.955105
0,21,78,0,7,302.4
0,9,8,0,3,571.2
59839,8,52,2,8,513.6
0,13,33,0,1,350.4
38166,25,5,1,1,236.842746
0,14,78,0,9,456.0
13457,31,28,0,1,285.825083
0,10,53,0,2,326.4
52721,34,29,0,1,550.127548
22012,5,69,0,5,75.698305
19864,22,96,0,1,352.394515
55289,10,71,0,3,134.124254
30449,23,47,0,3,501.092992
27362,23,28,0,8,422.78411
29460,3,18,0,5,29.303915
0,23,34,0,2,451.2
42532,13,32,0,1,200.641734
66707,19,24,0,8,71.980757
68041,10,47,0,1,165.570243
0,8,91,0,1,468.0
0,26,11,1,7,307.2
40968,29,53,1,1,465.6
39913,16,61,0,1,344.765129
31710,5,29,0,1,199.551735
0,35,52,3,5,350.4
89113,18,68,0,8,219.362643
0,27,2,0,1,725.870693
0,30,13,0,1,321.6
38688,22,6,0,3,2294.631639
0,19,87,4,3,528.0
0,18,97,0,2,609.6
28014,14,37,0,2,631.594469
14170,9,10,0,1,523.2
64825,1,78,0,4,359.484342
77357,24,38,0,8,29.884537
21629,19,54,0,1,298.626189
25927,6,20,0,1,674.973614
44388,10,74,1,1,496.843023
54539,5,74,0,2,287.453171
17576,29,70,0,1,398.502948
84629,19,17,0,5,411.671832
24964,0,84,0,2,888.0
43573,30,64,0,5,409.684798
0,24,99,0,2,340.780156
0,7,91,0,2,756.0
35011,7,91,0,8,215.728468
63651,19,10,0,3,224.711836
83846,22,94,3,2,355.2
0,2,70,0,1,1317.008182
39133,25,26,0,3,90.524457
31278,24,95,4,1,441.6
0,4,52,0,2,685.12694
44788,6,48,0,2,386.031248
0,26,33,0,2,561.6
62447,9,2,0,7,133.977857
31475,6,3,1,3,22.962412
80780,26,11,0,3,3.55
88613,5,59,0,1,359.36848
45949,0,70,0,1,110.556062
35596,11,92,0,3,307.2
76875,21,4,0,9,17.375878
41842,1,14,0,1,292.8
28884,27,9,1,3,518.4
24631,25,87,1,2,398.4
0,24,54,2,2,680.753091
71560,14,46,0,5,178.700204
0,8,71,0,2,384.0
72421,8,23,0,1,312.0
54702,5,42,0,1,955.2
0,4,43,5,2,547.2
57335,22,18,0,2,407.887715
0,9,20,3,2,482.4
35033,26,53,0,1,490.638202
65733,13,6,0,3,684.948527
0,30,44,0,3,472.611522
0,3,64,0,2,633.6
16181,22,79,0,8,1261.319869
86180,11,43,4,2,48.051339
36881,5,25,0,3,499.2
47888,23,16,1,1,545.083116
21986,1,9,0,1,333.696228
47199,3,65,3,1,480.0
0,30,69,0,9,331.2
86305,1,99,0,5,80.73124
39062,2,20,0,1,346.991025
16976,23,54,0,1,238.952528
0,29,35,2,2,468.0
83283,11,46,1,3,273.702709
41972,20,23,0,1,691.709371
34080,11,48,1,1,220.644418
0,35,52,3,5,350.4
40269,0,71,2,2,329.980754
61894,3,21,0,1,436.8
23300,3,35,1,4,339.906034
66023,11,94,0,1,265.629611
39660,3,46,0,1,416.8496
0,4,51,1,2,32.508635
60466,14,3,0,1,784.186389
32848,2,59,0,5,250.454012
20662,10,99,0,2,373.324673
64985,23,94,0,2,16.425514
68022,3,26,0,3,494.4
72834,12,81,3,1,91.941259
74592,9,30,0,1,321.6
73938,34,48,0,1,53.095599
15999,2,43,0,2,398.4
0,12,89,0,8,632.081402
0,11,55,0,5,460.8
0,0,93,3,1,345.6
0,9,96,0,1,576.0
62375,35,71,1,3,411.228571
61427,24,12,0,2,422.4
64396,2,46,0,2,355.409311
49312,30,55,1,4,230.104769
0,35,71,0,2,292.8
28513,4,22,1,2,480.0
0,23,55,0,2,518.4
97321,35,46,0,1,74.744643
58839,4,65,3,2,18.965718
0,4,14,0,1,518.4
88567,9,89,0,9,321.6
91646,12,10,0,1,57.678779
0,31,52,0,5,1012.8
48552,5,54,0,9,262.746281
31485,17,79,0,6,294.905685
0,6,47,0,8,628.801638
16511,35,4,0,5,972.0
51020,16,88,0,1,350.4
43838,11,37,0,7,465.6
0,11,30,0,7,827.085431
22454,5,75,2,3,556.097027
57933,10,64,0,1,533.255723
0,7,2,3,6,595.2
26335,32,7,1,2,355.818306
85322,32,55,0,2,735.491986
37843,2,17,0,1,354.455466
0,11,26,0,1,482.4
74730,18,84,0,6,421.235276
0,27,52,1,1,483.881752
0,2,80,0,1,307.2
28432,1,59,0,2,612.300581
71210,8,89,1,2,1027.2
19581,2,94,0,1,321.6
0,12,14,0,1,576.0
56005,31,30,1,3,326.4
0,10,11,0,2,572.847549
